Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S54938340,Canada Goose,Branta canadensis,297,6,CA-ON,Hamilton,L878483,Stoney Creek--5th Road East,43.1922866,-79.7130203,2019-04-13,06:15 PM,eBird - Stationary Count,10,1,,,2
S54938014,Canada Goose,Branta canadensis,297,20,CA-ON,Hamilton,L878483,Stoney Creek--5th Road East,43.1922866,-79.7130203,2019-04-14,07:15 AM,eBird - Traveling Count,70,1,5.,,2,,,Driving between Ridge and Green Mountain on 5th Road East + stretch of Green Mountain to 8th Road East
S46069454,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L2054515,Stoney Creek--Dofasco Trail at 11th Road E,43.1829934,-79.6513778,2018-05-27,07:20 AM,eBird - Traveling Count,20,0,.5,,2
S55551106,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L2054515,Stoney Creek--Dofasco Trail at 11th Road E,43.1829934,-79.6513778,2019-04-28,10:50 AM,eBird - Traveling Count,30,1,.7,,2
S55551994,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L405203,Stoney Creek--Edgelake Park,43.2422641,-79.7291565,2019-04-28,09:15 AM,eBird - Traveling Count,40,1,.4,,1
S69025520,Canada Goose,Branta canadensis,297,10,CA-ON,Hamilton,L405203,Stoney Creek--Edgelake Park,43.2422641,-79.7291565,2020-05-14,06:40 AM,eBird - Traveling Count,120,1,1.609,,2
S69077828,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L405203,Stoney Creek--Edgelake Park,43.2422641,-79.7291565,2020-05-15,07:00 AM,eBird - Traveling Count,80,1,.805,,2
S44250781,Canada Goose,Branta canadensis,297,6,CA-ON,Hamilton,L2141616,Stoney Creek--Mud Street and 11th Road East,43.1646,-79.65988,2018-04-04,10:20 AM,eBird - Traveling Count,20,1,.5,,2
S47145402,Canada Goose,Branta canadensis,297,10,GB-SCT,Highland,L7699275,From train near stop at Kinlocheil,56.8599065,-5.3270817,2018-07-11,06:45 PM,eBird - Casual Observation,,0,,,1
S58447176,Canada Goose,Branta canadensis,297,20,US-MI,Mackinac,L9694126,Highway 2 Driving,45.9497524,-84.9310932,2019-07-15,06:31 PM,eBird - Casual Observation,,0,,,2
S92471650,Canada Goose,Branta canadensis,297,50,US-OR,Malheur,L2216585,Antelope Reservoir,42.9043251,-117.2354507,2021-07-18,09:10 AM,eBird - Stationary Count,10,1,,,2
S82573399,Canada Goose,Branta canadensis,297,7,US-CA,Mendocino,L953963,Mendocino Headlands SP--bluffs,39.3104772,-123.809588,2021-02-28,08:15 AM,eBird - Stationary Count,20,1,,,2
S82573808,Canada Goose,Branta canadensis,297,2,US-CA,Mendocino,L8511528,Mendocino Headlands SP--coastal trail south,39.3033363,-123.799852,2021-02-28,10:45 AM,eBird - Traveling Count,40,1,.644,,2
